trip_id,trip_type,service_date,bus_id,slot_type,desired_start_dt,candidate_start_dt,latest_start_dt,available_after_dt,required_buffer_min,projected_span_min,split_reset_flag,variant_seed,feasible_flag,reason
ORT_0049,IN,2026-04-06,13,morning,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 21:20:07.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,13,morning,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 21:20:07.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,13,morning,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 21:20:07.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,13,morning,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 21:20:07.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,13,morning,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 21:20:07.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,1,evening,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-06 20:30:57.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,1,evening,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-06 20:30:57.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,1,evening,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-06 20:30:57.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,1,evening,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-06 20:30:57.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,1,evening,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-06 20:30:57.600000,30,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,2,evening,2026-04-06 08:45:00,,2026-04-06 08:55:37.097964,2026-04-07 00:08:43.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,2,evening,2026-04-06 08:30:00,,2026-04-06 08:55:37.097964,2026-04-07 00:08:43.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,2,evening,2026-04-06 09:00:00,,2026-04-06 08:55:37.097964,2026-04-07 00:08:43.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,2,evening,2026-04-06 08:15:00,,2026-04-06 08:55:37.097964,2026-04-07 00:08:43.200000,20,0.0,False,0,False,buffer_violation
ORT_0049,IN,2026-04-06,2,evening,2026-04-06 09:15:00,,2026-04-06 08:55:37.097964,2026-04-07 00:08:43.200000,20,0.0,False,0,False,buffer_violation
